상품명,브랜드/판매자,가격,배송정보,평점정보,성분정보,링크,이미지URL,텍스트
굿데이 건강한육포 참치 스틱 100g,굿데이,"4,300원",대통령배송,"5
(1)",,https://dogpre.com/product/105462,https://img.funnc.com/mobile/dogpre/product/106/105462_list_L1_01021314.png,"굿데이
굿데이 건강한육포 참치 스틱 100g
5,500원
25% 4,300원
대통령배송
5
(1)"
오래오래프로젝트 깨끗한 육포 못난이 소우신 250g,오래오래 프로젝트,"39,900원",무료배송,"1
(1)",,https://dogpre.com/product/104697,https://img.funnc.com/mobile/dogpre/product/105/104697_list_L1_01071526.jpg,"오래오래 프로젝트
오래오래프로젝트 깨끗한 육포 못난이 소우신 250g
39,900원
무료배송
1
(1)"
리틀달링 어포 샌드 300g,리틀달링,"2,500원",대통령배송,"4.5
(11)",,https://dogpre.com/product/104677,https://img.funnc.com/mobile/dogpre/product/105/104677_list_L1_01549510.jpg,"리틀달링
리틀달링 어포 샌드 300g
2,500원
대통령배송
4.5
(11)"
맛있구마 슬라이스 200g,맛있구마,"2,400원",대통령배송,"4.9
(7)",,https://dogpre.com/product/104658,https://img.funnc.com/mobile/dogpre/product/105/104658_list_L1_01657300.png,"맛있구마
맛있구마 슬라이스 200g
2,400원
대통령배송
4.9
(7)"
더독 미트코트 스위트포테이토 오리 80g,더독,"3,500원",대통령배송,"4.9
(14)",,https://dogpre.com/product/103744,https://img.funnc.com/mobile/dogpre/product/104/103744_list_L1_01009485.png,"더독
더독 미트코트 스위트포테이토 오리 80g
3,500원
대통령배송
4.9
(14)"
네츄럴코어 씹기편한 덕 슬라이스 75g,네츄럴코어,"4,050원",대통령배송,"4.8
(34)",,https://dogpre.com/product/103624?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/104/103624_list_L1_01402306.png,"네츄럴코어
네츄럴코어 씹기편한 덕 슬라이스 75g
4,050원
대통령배송
4.8
(34)"
네츄럴코어 씹기편한 치킨 슬라이스 75g,네츄럴코어,"4,050원",대통령배송,"4.9
(39)",,https://dogpre.com/product/103622?bundleOptionId=,https://img.funnc.com/mobile/dogpre/product/104/103622_list_L1_01114212.png,"네츄럴코어
네츄럴코어 씹기편한 치킨 슬라이스 75g
4,050원
대통령배송
4.9
(39)"
오래오래프로젝트 깨끗한 육포 통장어 200g,오래오래 프로젝트,"32,900원",무료배송,"5
(1)",,https://dogpre.com/product/103280,https://img.funnc.com/mobile/dogpre/product/104/103280_list_L1_01953481.jpg,"오래오래 프로젝트
오래오래프로젝트 깨끗한 육포 통장어 200g
32,900원
무료배송
5
(1)"
[유통기한 25.07.03] 리치즈 포크베지스틱 20개입,리치즈,"22,900원",대통령배송,"5
(3)",,https://dogpre.com/product/102992,https://img.funnc.com/mobile/dogpre/product/103/102992_list_L1_01700443.png,"리치즈
[유통기한 25.07.03] 리치즈 포크베지스틱 20개입
22,900원
대통령배송
5
(3)"
자연목장 쫄깃 콜라겐 육포 오리고기 500g,자연목장,"13,000원",대통령배송,"5
(7)",,https://dogpre.com/product/102414,https://img.funnc.com/mobile/dogpre/product/103/102414_list_L1_01883169.png,"자연목장
자연목장 쫄깃 콜라겐 육포 오리고기 500g
13,000원
대통령배송
5
(7)"
자연목장 쫄깃 콜라겐 육포 황태 500g,자연목장,"13,000원",대통령배송,"4.9
(11)",,https://dogpre.com/product/102413,https://img.funnc.com/mobile/dogpre/product/103/102413_list_L1_01265733.png,"자연목장
자연목장 쫄깃 콜라겐 육포 황태 500g
13,000원
대통령배송
4.9
(11)"
네츄럴코어 오븐에 구운 아귀포 27g 5묶음,네츄럴코어,"12,500원",대통령배송,"4.7
(58)",,https://dogpre.com/product/102045?bundleOptionId=231888,https://img.funnc.com/mobile/dogpre/product/103/102377_list_L1_3204.png,"네츄럴코어
네츄럴코어 오븐에 구운 아귀포 27g 5묶음
12,500원
대통령배송
4.7
(58)"
슈퍼포우 바이타민츄L (10개입),슈퍼포우,"18,800원",무료배송,"4.7
(9)",,https://dogpre.com/product/102248,https://img.funnc.com/mobile/dogpre/product/103/102248_list_L1_01248594.png,"슈퍼포우
슈퍼포우 바이타민츄L (10개입)
18,800원
무료배송
4.7
(9)"
리얼미트 소 육포 70g,리얼미트,"2,800원",대통령배송,"4.9
(61)",,https://dogpre.com/product/102163,https://img.funnc.com/mobile/dogpre/product/103/102163_list_L1_01173763.png,"리얼미트
리얼미트 소 육포 70g
2,800원
대통령배송
4.9
(61)"
리얼미트 오리 육포 70g,리얼미트,"2,800원",대통령배송,"4.9
(17)",,https://dogpre.com/product/102162,https://img.funnc.com/mobile/dogpre/product/103/102162_list_L1_01333537.png,"리얼미트
리얼미트 오리 육포 70g
2,800원
대통령배송
4.9
(17)"
리얼미트 닭가슴살 육포 40g,리얼미트,"2,800원",대통령배송,"4.7
(20)",,https://dogpre.com/product/102159,https://img.funnc.com/mobile/dogpre/product/103/102159_list_L1_01535312.png,"리얼미트
리얼미트 닭가슴살 육포 40g
2,800원
대통령배송
4.7
(20)"
리얼미트 돼지 귀 슬라이스 50g,리얼미트,"2,800원",대통령배송,"5
(57)",,https://dogpre.com/product/102157,https://img.funnc.com/mobile/dogpre/product/103/102157_list_L1_01401225.png,"리얼미트
리얼미트 돼지 귀 슬라이스 50g
2,800원
대통령배송
5
(57)"
리얼미트 소 육포 400g,리얼미트,"15,000원",대통령배송,"4.9
(61)",,https://dogpre.com/product/102142,https://img.funnc.com/mobile/dogpre/product/103/102142_list_L1_01484383.png,"리얼미트
리얼미트 소 육포 400g
15,000원
대통령배송
4.9
(61)"
리얼미트 오리 육포 400g,리얼미트,"15,000원",대통령배송,"5
(34)",,https://dogpre.com/product/102141,https://img.funnc.com/mobile/dogpre/product/103/102141_list_L1_01158845.png,"리얼미트
리얼미트 오리 육포 400g
15,000원
대통령배송
5
(34)"
리얼미트 닭가슴살 육포 260g,리얼미트,"15,000원",대통령배송,"4.9
(35)",,https://dogpre.com/product/102138,https://img.funnc.com/mobile/dogpre/product/103/102138_list_L1_01957863.png,"리얼미트
리얼미트 닭가슴살 육포 260g
15,000원
대통령배송
4.9
(35)"
리얼미트 돼지 귀 슬라이스 300g,리얼미트,"15,000원",대통령배송,"5
(57)",,https://dogpre.com/product/102136,https://img.funnc.com/mobile/dogpre/product/103/102136_list_L1_01882845.png,"리얼미트
리얼미트 돼지 귀 슬라이스 300g
15,000원
대통령배송
5
(57)"
네츄럴코어 오븐에 구운 아귀포 27g,네츄럴코어,"3,200원",대통령배송,"4.7
(58)",,https://dogpre.com/product/102045?bundleOptionId=231887,https://img.funnc.com/mobile/dogpre/product/103/102045_list_L1_01971462.png,"네츄럴코어
네츄럴코어 오븐에 구운 아귀포 27g
3,200원
5개 구매 시 개당 2,500원
대통령배송
4.7
(58)"
네츄럴코어 포크&치즈 컷트 23g 5묶음,네츄럴코어,"12,500원",대통령배송,"4.8
(415)",,https://dogpre.com/product/88472?bundleOptionId=221311,https://img.funnc.com/mobile/dogpre/product/102/101498_list_L1_5805.png,"네츄럴코어
네츄럴코어 포크&치즈 컷트 23g 5묶음
12,500원
대통령배송
4.8
(415)"
네츄럴코어 대구&호박 슬라이스 30g 4묶음,네츄럴코어,"8,400원",대통령배송,"4.8
(206)",,https://dogpre.com/product/101225?bundleOptionId=221296,https://img.funnc.com/mobile/dogpre/product/102/101491_list_L1_2736.png,"네츄럴코어
네츄럴코어 대구&호박 슬라이스 30g 4묶음
8,400원
대통령배송
4.8
(206)"
네츄럴코어 대구&호박 슬라이스 30g,네츄럴코어,"2,200원",대통령배송,"4.8
(206)",,https://dogpre.com/product/101225?bundleOptionId=221295,https://img.funnc.com/mobile/dogpre/product/102/101225_list_L1_01958463.png,"네츄럴코어
네츄럴코어 대구&호박 슬라이스 30g
2,200원
4개 구매 시 개당 2,100원
대통령배송
4.8
(206)"
슈퍼포우 바나나츄L (10개입),슈퍼포우,"18,800원",무료배송,"4.8
(15)",,https://dogpre.com/product/100961,https://img.funnc.com/mobile/dogpre/product/101/100961_list_L1_01497781.png,"슈퍼포우
슈퍼포우 바나나츄L (10개입)
18,800원
무료배송
4.8
(15)"
오래오래프로젝트 깨끗한 육포 말고기 200g,오래오래 프로젝트,"33,900원",무료배송,"4.7
(8)",,https://dogpre.com/product/99599,https://img.funnc.com/mobile/dogpre/product/100/99599_list_L1_01229655.png,"오래오래 프로젝트
오래오래프로젝트 깨끗한 육포 말고기 200g
33,900원
무료배송
4.7
(8)"
오래오래프로젝트 깨끗한 육포 캥거루 200g,오래오래 프로젝트,"33,900원",무료배송,"4.9
(6)",,https://dogpre.com/product/99596,https://img.funnc.com/mobile/dogpre/product/100/99596_list_L1_01886066.png,"오래오래 프로젝트
오래오래프로젝트 깨끗한 육포 캥거루 200g
33,900원
무료배송
4.9
(6)"
슈퍼포우 후코이단츄L (10개입),슈퍼포우,"18,800원",무료배송,"4.8
(13)",,https://dogpre.com/product/99586,https://img.funnc.com/mobile/dogpre/product/100/99586_list_L1_01633661.png,"슈퍼포우
슈퍼포우 후코이단츄L (10개입)
18,800원
무료배송
4.8
(13)"
굿데이 건강한육포 소고기 소프트 육포 300g,굿데이,"12,900원",대통령배송,"4.8
(256)",,https://dogpre.com/product/99113,https://img.funnc.com/mobile/dogpre/product/100/99113_list_L1_01479033.png,"굿데이
굿데이 건강한육포 소고기 소프트 육포 300g
12,900원
대통령배송
4.8
(256)"
굿데이 건강한육포 소고기 육포 300g,굿데이,"12,900원",대통령배송,"4.8
(56)",,https://dogpre.com/product/99112,https://img.funnc.com/mobile/dogpre/product/100/99112_list_L1_01239201.png,"굿데이
굿데이 건강한육포 소고기 육포 300g
12,900원
대통령배송
4.8
(56)"
굿데이 건강한육포 오리가슴살말이 고구마 300g,굿데이,"11,400원",대통령배송,"4.8
(43)",,https://dogpre.com/product/99111,https://img.funnc.com/mobile/dogpre/product/100/99111_list_L1_01305994.png,"굿데이
굿데이 건강한육포 오리가슴살말이 고구마 300g
11,400원
대통령배송
4.8
(43)"
굿데이 건강한육포 닭가슴살말이 고구마 300g,굿데이,"11,400원",대통령배송,"4.8
(42)",,https://dogpre.com/product/99110,https://img.funnc.com/mobile/dogpre/product/100/99110_list_L1_01991611.png,"굿데이
굿데이 건강한육포 닭가슴살말이 고구마 300g
11,400원
대통령배송
4.8
(42)"
굿데이 건강한육포 오리가슴살말이 황태 240g,굿데이,"12,500원",대통령배송,"4.9
(86)",,https://dogpre.com/product/99109,https://img.funnc.com/mobile/dogpre/product/100/99109_list_L1_01768140.png,"굿데이
굿데이 건강한육포 오리가슴살말이 황태 240g
12,500원
대통령배송
4.9
(86)"
굿데이 건강한육포 닭가슴살말이 황태 240g,굿데이,"12,500원",대통령배송,"4.9
(74)",,https://dogpre.com/product/99108,https://img.funnc.com/mobile/dogpre/product/100/99108_list_L1_01702713.png,"굿데이
굿데이 건강한육포 닭가슴살말이 황태 240g
12,500원
대통령배송
4.9
(74)"
굿데이 건강한육포 오리가슴살 소프트 스틱 300g,굿데이,"11,500원",대통령배송,"4.7
(397)",,https://dogpre.com/product/99107,https://img.funnc.com/mobile/dogpre/product/100/99107_list_L1_01923699.png,"굿데이
굿데이 건강한육포 오리가슴살 소프트 스틱 300g
11,500원
대통령배송
4.7
(397)"
굿데이 건강한육포 오리가슴살 소프트 슬라이스 300g,굿데이,"11,500원",대통령배송,"4.7
(449)",,https://dogpre.com/product/99106,https://img.funnc.com/mobile/dogpre/product/100/99106_list_L1_01655126.png,"굿데이
굿데이 건강한육포 오리가슴살 소프트 슬라이스 300g
11,500원
대통령배송
4.7
(449)"
굿데이 건강한육포 오리가슴살 슬라이스 300g,굿데이,"11,500원",대통령배송,"4.8
(94)",,https://dogpre.com/product/99105,https://img.funnc.com/mobile/dogpre/product/100/99105_list_L1_01611368.png,"굿데이
굿데이 건강한육포 오리가슴살 슬라이스 300g
11,500원
대통령배송
4.8
(94)"
굿데이 건강한육포 오리가슴살 트위스트 300g,굿데이,"11,500원",대통령배송,"4.9
(71)",,https://dogpre.com/product/99103,https://img.funnc.com/mobile/dogpre/product/100/99103_list_L1_01287403.png,"굿데이
굿데이 건강한육포 오리가슴살 트위스트 300g
11,500원
대통령배송
4.9
(71)"
